model,horizon_min,mae_c,rmse_c,count,inference_s,scenario,heldout_distribution_shift
gradient_boosting,15,2.3182718264797924,3.2257530426302674,312,0.02830730000277981,burst,False
gradient_boosting,30,3.315227131921197,4.164127681773139,312,0.02830730000277981,burst,False
gradient_boosting,60,4.524701755111943,5.3099978418723985,312,0.02830730000277981,burst,False
gradient_boosting,5,0.6876320657577648,0.8900259837876237,312,0.02830730000277981,cooling_degradation,False
gradient_boosting,10,0.9020173532563325,1.1160863313058833,312,0.02830730000277981,cooling_degradation,False
gradient_boosting,15,1.102713994065238,1.3607644032466368,312,0.02830730000277981,cooling_degradation,False
gradient_boosting,30,1.3506229235105394,1.7289289244007817,312,0.02830730000277981,cooling_degradation,False
gradient_boosting,60,1.3496495665379182,1.6445299965893962,312,0.02830730000277981,cooling_degradation,False
gradient_boosting,5,0.6368014719665165,0.9722546290236912,8508,0.02830730000277981,hot_ambient,True
gradient_boosting,10,0.8614920247619323,1.168976969439457,8508,0.02830730000277981,hot_ambient,True
gradient_boosting,15,1.0569269401288748,1.3720449416883722,8508,0.02830730000277981,hot_ambient,True
gradient_boosting,30,1.3462785169110933,1.6941641547503958,8508,0.02830730000277981,hot_ambient,True
gradient_boosting,60,1.1830559174942399,1.4154411947539247,8508,0.02830730000277981,hot_ambient,True
gradient_boosting,5,0.5169215958288634,0.805172985614712,312,0.02830730000277981,normal,False
gradient_boosting,10,0.64474858194272,0.8933124628378594,312,0.02830730000277981,normal,False
gradient_boosting,15,0.6937884433693585,0.937416758546715,312,0.02830730000277981,normal,False
gradient_boosting,30,0.7625844603749914,0.9348488944978579,312,0.02830730000277981,normal,False
gradient_boosting,60,0.8553445421836778,0.9731212173624791,312,0.02830730000277981,normal,False
gradient_boosting,5,2.084322461338762,3.5709271437986345,8508,0.02830730000277981,skewed,True
gradient_boosting,10,2.1901612826563523,3.621213632396722,8508,0.02830730000277981,skewed,True
gradient_boosting,15,2.2947811857357094,3.6638590349036386,8508,0.02830730000277981,skewed,True
gradient_boosting,30,2.3998262369146706,3.5220465022015235,8508,0.02830730000277981,skewed,True
gradient_boosting,60,2.288460872327258,2.8984225248948694,8508,0.02830730000277981,skewed,True
recurrent,5,27.44736671447754,27.553403854370117,312,0.19673969999712426,burst,False
recurrent,10,26.52830696105957,26.641124725341797,312,0.19673969999712426,burst,False
recurrent,15,27.381322860717773,27.496389389038086,312,0.19673969999712426,burst,False
recurrent,30,27.433774948120117,27.566930770874023,312,0.19673969999712426,burst,False
recurrent,60,30.203519821166992,30.342727661132812,312,0.19673969999712426,burst,False
recurrent,5,24.269899368286133,24.38590431213379,312,0.19673969999712426,cooling_degradation,False
recurrent,10,23.2548828125,23.38138198852539,312,0.19673969999712426,cooling_degradation,False
recurrent,15,23.895734786987305,24.025583267211914,312,0.19673969999712426,cooling_degradation,False
recurrent,30,22.801015853881836,22.96150016784668,312,0.19673969999712426,cooling_degradation,False
recurrent,60,23.556026458740234,23.785898208618164,312,0.19673969999712426,cooling_degradation,False
recurrent,5,23.1492919921875,23.295490264892578,8508,0.19673969999712426,hot_ambient,True
recurrent,10,22.221603393554688,22.37289810180664,8508,0.19673969999712426,hot_ambient,True
recurrent,15,22.924875259399414,23.069746017456055,8508,0.19673969999712426,hot_ambient,True
recurrent,30,22.030733108520508,22.178997039794922,8508,0.19673969999712426,hot_ambient,True
