model,horizon_min,mae_c,rmse_c,count,inference_s,rack_id
gradient_boosting,5,3.2302804932574123,4.366448587601799,1496,0.02830730000277981,1
gradient_boosting,10,3.3009072756503657,4.422303597477337,1496,0.02830730000277981,1
gradient_boosting,15,3.3567131255546387,4.46190383717865,1496,0.02830730000277981,1
gradient_boosting,30,3.2449817225306243,4.226883788560446,1496,0.02830730000277981,1
gradient_boosting,60,2.5496256808581177,3.2153930468315894,1496,0.02830730000277981,1
gradient_boosting,5,3.149657842551506,4.375294691021043,1496,0.02830730000277981,2
gradient_boosting,10,3.2209192540214313,4.429185170925794,1496,0.02830730000277981,2
gradient_boosting,15,3.279561960720261,4.467836782694421,1496,0.02830730000277981,2
gradient_boosting,30,3.163921284517785,4.232240975344749,1496,0.02830730000277981,2
gradient_boosting,60,2.480458026627208,3.213008090330606,1496,0.02830730000277981,2
gradient_boosting,5,3.1151763783032282,4.37617851530201,1496,0.02830730000277981,3
gradient_boosting,10,3.1842336963405615,4.428402457735107,1496,0.02830730000277981,3
gradient_boosting,15,3.2428100231054455,4.46558742046481,1496,0.02830730000277981,3
gradient_boosting,30,3.117154640606085,4.226739700024669,1496,0.02830730000277981,3
gradient_boosting,60,2.398906025479198,3.204585782420946,1496,0.02830730000277981,3
gradient_boosting,5,0.30290778634437554,0.36991478465880584,1496,0.02830730000277981,4
gradient_boosting,10,0.40416735055543584,0.4923101656774325,1496,0.02830730000277981,4
gradient_boosting,15,0.5178343879099633,0.6295881724603115,1496,0.02830730000277981,4
gradient_boosting,30,0.8387469091255237,1.000877481485057,1496,0.02830730000277981,4
gradient_boosting,60,1.2973023890112465,1.573138135762541,1496,0.02830730000277981,4
gradient_boosting,5,0.2953375983600585,0.3591545662172487,1496,0.02830730000277981,5
gradient_boosting,10,0.40101852344751343,0.49088327054404574,1496,0.02830730000277981,5
gradient_boosting,15,0.5241909625706537,0.6457328484626559,1496,0.02830730000277981,5
gradient_boosting,30,0.8218294994430191,0.9969671621704896,1496,0.02830730000277981,5
gradient_boosting,60,1.2527586106029271,1.553251079266928,1496,0.02830730000277981,5
gradient_boosting,5,0.3025605295972056,0.41394011892508653,1496,0.02830730000277981,6
gradient_boosting,10,0.3976489093614506,0.531668813663946,1496,0.02830730000277981,6
gradient_boosting,15,0.5161011658842908,0.6683544035658459,1496,0.02830730000277981,6
gradient_boosting,30,0.8007368496670597,0.9984098981320015,1496,0.02830730000277981,6
gradient_boosting,60,1.233289411721455,1.5370552274643356,1496,0.02830730000277981,6
gradient_boosting,5,0.3354406922501613,0.4996853444850331,1496,0.02830730000277981,7
gradient_boosting,10,0.42373106135052113,0.587497730731213,1496,0.02830730000277981,7
gradient_boosting,15,0.5409563817745258,0.7019067477610847,1496,0.02830730000277981,7
gradient_boosting,30,0.812245534664757,1.0103193777909192,1496,0.02830730000277981,7
gradient_boosting,60,1.1691065224258734,1.4815752622827283,1496,0.02830730000277981,7
gradient_boosting,5,0.5600069685973252,0.8286880102090015,1496,0.02830730000277981,8
gradient_boosting,10,0.9066414989453528,1.1563726881257221,1496,0.02830730000277981,8
gradient_boosting,15,1.1870030931487259,1.4577341366353225,1496,0.02830730000277981,8
gradient_boosting,30,1.6633971731034694,2.0366807014523847,1496,0.02830730000277981,8
gradient_boosting,60,1.5535127860576032,1.9572893698449039,1496,0.02830730000277981,8
gradient_boosting,5,0.5465256674860742,0.8398531491956501,1496,0.02830730000277981,9
gradient_boosting,10,0.8690597453064671,1.1435006350071286,1496,0.02830730000277981,9
gradient_boosting,15,1.1450023238741531,1.4514912553033068,1496,0.02830730000277981,9
gradient_boosting,30,1.6067227114672467,2.0247474540062176,1496,0.02830730000277981,9
gradient_boosting,60,1.5654069619718152,1.9775092586173635,1496,0.02830730000277981,9
gradient_boosting,5,0.5404506046935491,0.8552148341995341,1496,0.02830730000277981,10
gradient_boosting,10,0.8533668720496437,1.1360757231885346,1496,0.02830730000277981,10
gradient_boosting,15,1.1226037401948048,1.4261938877800497,1496,0.02830730000277981,10
gradient_boosting,30,1.5507776407124678,1.939620204716846,1496,0.02830730000277981,10
